game_id,eventnum,eventmsgtype,eventmsgactiontype,period,wctimestring,pctimestring,homedescription,neutraldescription,visitordescription,score,scoremargin,person1type,player1_id,player1_name,player1_team_id,player1_team_city,player1_team_nickname,player1_team_abbreviation,person2type,player2_id,player2_name,player2_team_id,player2_team_city,player2_team_nickname,player2_team_abbreviation,person3type,player3_id,player3_name,player3_team_id,player3_team_city,player3_team_nickname,player3_team_abbreviation,video_available_flag
0021400770,389,2,1,4,7:52 PM,9:22,,,MISS Brooks 26' 3PT Jump Shot,,,5.0,201166,Aaron Brooks,1610612741.0,Chicago,Bulls,CHI,0.0,0,,,,,,0.0,0,,,,,,1
0021500518,466,6,1,4,11:26 PM,0:15,Booker P.FOUL (P3.PN) (T.Brown),,,,,4.0,202344,Trevor Booker,1610612762.0,Utah,Jazz,UTA,5.0,1891,Jason Terry,1610612745.0,Houston,Rockets,HOU,1.0,0,,,,,,1
0020100766,208,2,64,2,11:13 PM,0:00,MISS Mason  Follow Up Dunk,,,,,4.0,2046,Desmond Mason,1610612760.0,Seattle,SuperSonics,SEA,0.0,0,,,,,,0.0,0,,,,,,0
0020201093,158,6,2,2,11:53 PM,6:30,,,Bryant S.FOUL (P2.T2),,,5.0,977,Kobe Bryant,1610612747.0,Los Angeles,Lakers,LAL,0.0,0,,,,,,1.0,0,,,,,,0
0021900219,498,4,0,4,9:50 PM,10:01,Arcidiacono REBOUND (Off:0 Def:1),,,,,4.0,1627853,Ryan Arcidiacono,1610612741.0,Chicago,Bulls,CHI,0.0,0,,,,,,0.0,0,,,,,,1
0022101204,259,8,0,2,7:58 PM,3:32,,,SUB: Toppin FOR Gibson,,,5.0,201959,Taj Gibson,1610612752.0,New York,Knicks,NYK,5.0,1630167,Obi Toppin,1610612752.0,New York,Knicks,NYK,0.0,0,,,,,,0
0020900213,401,1,1,3,9:58 PM,2:31,Brewer 20' Jump Shot (19 PTS) (Sessions 1 AST),,,90 - 69,-21,4.0,201147,Corey Brewer,1610612750.0,Minnesota,Timberwolves,MIN,4.0,201196,Ramon Sessions,1610612750.0,Minnesota,Timberwolves,MIN,0.0,0,,,,,,0
0020100442,402,4,0,4,11:52 PM,8:43,,,Boykins REBOUND (Off:2 Def:0),,,5.0,1863,Earl Boykins,1610612746.0,Los Angeles,Clippers,LAC,0.0,0,,,,,,0.0,0,,,,,,0
0020700329,4,2,1,1,7:06 PM,11:18,,,MISS Calderon 24' 3PT Jump Shot,,,5.0,101181,Jose Calderon,1610612761.0,Toronto,Raptors,TOR,0.0,0,,,,,,0.0,0,,,,,,0
0020400084,452,4,0,4,10:24 PM,3:31,,,Hardaway REBOUND (Off:2 Def:3),,,5.0,358,Anfernee Hardaway,1610612752.0,New York,Knicks,NYK,0.0,0,,,,,,0.0,0,,,,,,0
