game_id,foul_team,team_foul_count
29600095,SAS,19
29600133,MIL,25
29600164,WAS,19
29600170,NYK,26
29600173,LAL,23
29600177,UTA,24
29600222,DAL,30
29600227,CLE,25
29600228,CHI,28
29600275,NYK,23
29600285,POR,25
29600276,ATL,22
29600300,CHI,19
29600379,LAC,20
29600538,UTA,19
29600539,BOS,23
29600551,TOR,18
29600608,WAS,14
29600610,IND,26
29600612,MIN,14
29600669,SAS,22
29600719,SAS,14
29600793,UTA,23
29600796,MIA,25
29600810,GSW,26
29600823,HOU,17
29600861,NYK,25
29600868,PHX,20
29600881,UTA,30
29600925,SAS,17
29601041,WAS,28
29601056,CHH,22
29601113,GSW,16
29601143,DAL,28
29601175,PHI,14
49600012,ORL,23
49600014,WAS,26
49600048,UTA,33
49600057,LAL,31
29700066,WAS,24
29700106,IND,19
29700115,CHH,27
29700211,DAL,22
29700248,PHX,21
29700303,BOS,21
29700322,LAL,21
29700331,MIL,24
29700495,HOU,20
29700527,SEA,21
29700541,DAL,22
29700565,WAS,20
29700624,TOR,26
29700659,BOS,28
29700686,TOR,17
29700691,SAC,23
29700696,CHH,21
29700724,NYK,26
29700742,BOS,28
29600045,,2
29600133,,1
29600185,,1
29600236,,1
29600339,,6
29600554,,1
29600976,,1
29601063,,3
29700574,,3
29700570,,1
29600003,MIL,30
29600048,DEN,28
29600237,DET,14
29600286,TOR,23
29600300,NJN,21
29600324,LAC,31
29600351,NJN,21
29600360,ATL,24
29600391,POR,28
29600406,HOU,15
29600425,ORL,19
29600456,GSW,29
29600534,DAL,18
29600557,CLE,30
29600636,GSW,14
29600666,ATL,13
29600724,DET,17
29600723,DEN,17
29600765,SAS,20
29600779,UTA,28
29600794,LAC,24
29600801,PHI,21
29600831,LAC,25
29600875,LAC,23
29600911,SAC,24
29600915,MIA,20
29600930,MIA,19
29601010,LAC,24
29601058,ORL,23
29601062,BOS,21
29601101,PHI,18
49600036,MIA,21
49600071,UTA,27
29700009,HOU,29
29700042,SEA,27
29700050,HOU,17
29700115,LAC,25
29700185,ORL,19
29700207,MIA,25
29700246,SAC,19
29700275,SAS,19
29700284,LAL,24
29700317,CHI,24
29700352,CHH,21
29700442,CHI,17
29700479,UTA,29
29700492,GSW,20
29700608,ATL,20
29700626,GSW,25
29700625,POR,21
29700636,TOR,16
29700710,CHH,17
29700728,LAL,23
29700732,NJN,19
29700741,DEN,23
29700736,CLE,31
29700764,DEN,27
29700774,IND,21
29600126,,5
29600733,,2
29600744,,1
29600774,,1
29600868,,3
49600050,,1
29700376,,1
29600043,CHI,19
29600074,NYK,25
29600070,CLE,20
29600180,SEA,13
29600211,WAS,14
29600305,PHX,20
29600312,MIL,21
29600334,IND,23
29600353,IND,25
29600352,TOR,22
29600373,CLE,18
29600483,WAS,19
29600542,MIN,19
29600561,ORL,15
29600580,SEA,27
29600602,MIL,20
29600623,SAS,23
29600688,DAL,19
29600719,ATL,17
29600796,ORL,17
29600828,LAL,18
29600845,HOU,24
29600845,LAC,20
29600851,MIN,19
29600872,NJN,28
29600939,ATL,24
29600937,MIL,30
29600964,PHX,15
29601037,MIN,24
